id,conversation,question_id,model_name,time,mt,exp,nll,N100,N150,N200,N250,N300,N350,N400,word_speed,line_speed,pixel_speed,saccade,fft,rrt,tft,skip_rate,fixation_time
58,1,102,gpt-4,11477,1.5,1.0,130.4684725914849,25,7,6,2,0,0,0,302.0263157894737,2869.25,1.6076340762086472,59,498.00000000000006,265.6,763.6,0.4473684210526316,9583.333333333332
58,2,102,vicuna-13b-v1.2,18100,1.5,2.0,171.8923620871501,54,18,7,3,2,1,1,232.05128205128204,2585.714285714286,1.2056531816312115,87,166.0,481.4,166.0,0.4743589743589743,16783.333333333336
59,1,93,vicuna-13b-v1.2,22015,1.0,1.25,99.502106621454,44,26,15,10,2,0,0,360.9016393442623,3669.1666666666665,2.214374545796343,93,282.20000000000005,348.6,282.20000000000005,0.5192307692307693,14566.666666666666
59,2,93,gpt-3.5-turbo,17308,2.0,1.75,79.47363045350357,35,18,6,2,0,0,0,332.84615384615387,3461.6,1.347122653824237,68,232.40000000000003,265.6,498.00000000000006,0.4426229508196721,15583.333333333334
60,1,92,gpt-3.5-turbo,19802,1.0,1.75,125.40416362351344,53,28,15,7,2,2,1,238.57831325301208,2475.25,1.4454328012795277,101,332.0,1029.2,282.20000000000005,0.4782608695652174,14533.333333333336
60,2,92,claude-v1,16309,2.0,1.25,184.74166885997693,55,19,10,3,1,1,1,236.3623188405797,2718.1666666666665,0.9638408389246372,99,265.6,531.2,265.6,0.5783132530120482,15933.333333333334
61,1,92,gpt-3.5-turbo,22910,2.0,1.75,125.40416362351344,49,17,10,6,6,4,3,276.0240963855422,2863.75,1.7969310366665714,81,332.0,464.80000000000007,199.2,0.4,18100.0
61,2,92,alpaca-13b,19757,1.0,1.25,126.1819701762888,39,14,3,2,0,0,0,303.95384615384614,3292.833333333333,1.1676131862550774,76,149.4,99.6,166.0,0.4698795180722891,20066.666666666664
62,1,92,claude-v1,28880,2.0,1.25,312.79447084094863,50,13,5,3,2,1,1,304.0,3610.0,1.5925350136637555,115,282.20000000000005,298.8,215.8,0.5684210526315789,24233.333333333336
62,2,92,gpt-4,10485,1.0,1.75,123.39321459142955,22,5,1,0,0,0,0,268.84615384615387,2621.25,1.418971235479594,48,199.2,464.80000000000007,232.40000000000003,0.4615384615384615,9450.0
63,1,92,gpt-3.5-turbo,13322,1.0,1.75,90.45901504100766,28,13,10,10,6,3,2,333.05,4440.666666666667,1.9104905948419493,52,614.2,713.8000000000001,282.20000000000005,0.525,11216.666666666666
63,2,92,vicuna-13b-v1.2,10280,2.0,1.25,109.2388231207151,15,8,3,2,1,1,1,257.0,3426.6666666666665,1.608240692026716,58,199.2,149.4,332.0,0.5,9066.666666666666
64,1,98,claude-v1,18701,2.0,1.75,186.61258690227987,32,9,2,0,0,0,0,316.96610169491527,3740.2,1.70993031877828,93,265.6,531.2,796.8000000000001,0.3898305084745763,15400.0
64,2,98,gpt-4,16380,1.0,1.25,135.79874998726882,27,12,7,0,0,0,0,252.0,3276.0,1.4616986142843007,75,265.6,298.8,564.4000000000001,0.4769230769230769,15083.333333333336
65,1,92,gpt-3.5-turbo,11678,1.0,1.75,90.45894930919168,28,13,6,2,0,0,0,291.95,3892.6666666666665,0.643962046037581,79,132.8,116.20000000000002,132.8,0.5157894736842106,18950.000000000004
65,2,92,claude-v1,24611,2.0,1.25,312.79447084094863,50,25,11,6,2,1,1,259.06315789473683,3076.375,3.5294313188451603,106,265.6,182.6,265.6,0.625,9283.333333333334
66,1,92,claude-v1,10021,2.0,1.25,184.74166885997693,42,24,10,3,0,0,0,145.231884057971,1670.1666666666667,0.694490596914465,70,431.6,166.0,431.6,0.5694444444444444,9616.666666666668
66,2,92,vicuna-13b-v1.2,11250,1.0,1.75,148.34465480612562,50,23,9,2,0,0,0,156.25,1607.142857142857,0.8211856890412427,76,132.8,199.2,332.0,0.5362318840579711,7400.0
67,1,85,llama-13b,26201,1.0,1.25,171.70916159974877,48,19,4,3,2,2,2,256.87254901960785,3275.125,1.5759096720447794,134,99.6,315.40000000000003,99.6,0.5294117647058824,24366.666666666664
67,2,85,alpaca-13b,19758,2.0,1.75,113.4794657968596,38,13,2,2,2,1,1,256.5974025974026,3293.0,1.6564842208789743,88,116.20000000000002,348.6,232.40000000000003,0.3896103896103896,17216.666666666668
68,1,100,vicuna-13b-v1.2,14231,1.5,1.75,152.01746309649025,37,14,4,1,0,0,0,167.42352941176472,2371.833333333333,1.01799291810714,68,298.8,182.6,298.8,0.5662650602409639,13950.0
68,2,100,gpt-3.5-turbo,15507,1.5,1.25,127.15523775390466,44,20,6,2,0,0,0,186.83132530120483,2215.285714285714,1.1339554475428617,86,215.8,249.00000000000003,464.80000000000007,0.5647058823529412,10483.333333333332
69,1,92,alpaca-13b,9242,1.0,1.75,126.1819701762888,31,10,4,1,1,0,0,142.1846153846154,1540.3333333333333,0.64050315304695,70,332.0,249.00000000000003,166.0,0.6388888888888888,5983.333333333333
